T,0.767,Integrated Telecommunication Services
INTC,0.811,Semiconductors
AMGN,0.65,Biotechnology
HON,1.11,Industrial Conglomerates
BA,1.44,Aerospace and Defense
INTU,1.16,Application Software
UNP,1.11,Rail Transportation
AXP,1.2,Consumer Finance
DE,1.06,Agricultural and Farm Machinery
COP,1.31,Oil and Gas Exploration and Production
LMT,0.679,Aerospace and Defense
SBUX,0.938,Restaurants
LOW,1.09,Home Improvement Retail
IBM,0.852,IT Consulting and Other Services
CAT,1.1,Construction Machinery and Heavy Transportation Equipment
PLD,1,Industrial REITs
GS,1.42,Investment Banking and Brokerage
SPGI,1.12,Financial Exchanges and Data
ELV,0.863,Managed Health Care
SYK,0.934,Health Care Equipment
MDT,0.721,Health Care Equipment
GE,1.19,Industrial Conglomerates
AMAT,1.61,Semiconductor Materials and Equipment
GILD,0.405,Biotechnology
BLK,1.3,Asset Management and Custody Banks
BKNG,1.32,"Hotels, Resorts and Cruise Lines"
ADI,1.14,Semiconductors
SCHW,0.931,Investment Banking and Brokerage
CVS,0.629,Health Care Services
AMT,0.557,Telecom Tower REITs
MDLZ,0.661,Packaged Foods and Meats
NOW,1.03,Systems Software
ADP,0.819,Human Resource and Employment Services
C,1.59,Diversified Banks
TJX,0.91,Apparel Retail
ISRG,1.29,Health Care Equipment
EL,0.995,Personal Care Products
REGN,0.209,Biotechnology
PYPL,1.31,Transaction and Payment Processing Services
PGR,0.493,Property and Casualty Insurance
MMC,0.919,Insurance Brokers
VRTX,0.485,Biotechnology
CB,0.671,Property and Casualty Insurance
MO,0.633,Tobacco
ABNB,1.16,"Hotels, Resorts and Cruise Lines"
ZTS,0.759,Pharmaceuticals
TGT,1.05,Consumer Staples Merchandise Retail
CI,0.677,Health Care Services
SO,0.482,Electric Utilities
DUK,0.414,Electric Utilities
ITW,1.12,Industrial Machinery and Supplies and Components
HCA,1.64,Health Care Facilities
BSX,0.785,Health Care Equipment
LRCX,1.49,Semiconductor Materials and Equipment
FISV,0.858,Transaction and Payment Processing Services
BDX,0.556,Health Care Equipment
NOC,0.508,Aerospace and Defense
SLB,1.79,Oil and Gas Equipment and Services
CME,0.428,Financial Exchanges and Data
ETN,1.13,Electrical Components and Equipment
EOG,1.52,Oil and Gas Exploration and Production
ATVI,0.418,Interactive Home Entertainment
EQIX,0.608,Data Center REITs
WM,0.725,Environmental and Facilities Services
MU,1.39,Semiconductors
AON,0.887,Insurance Brokers
UBER,1.22,Passenger Ground Transportation
APD,0.858,Industrial Gases
GD,0.834,Aerospace and Defense
CL,0.469,Household Products
BX,1.51,Asset Management and Custody Banks
CSX,1.22,Rail Transportation
HUM,0.724,Managed Health Care
PANW,1.16,Systems Software
MPC,1.59,Oil and Gas Refining and Marketing
MRNA,1.7,Biotechnology
SCCO,1.23,Copper
SNPS,1.18,Application Software
FCX,2.02,Copper
ICE,0.93,Financial Exchanges and Data
CCI,0.665,Telecom Tower REITs
SHW,1.07,Specialty Chemicals
MMM,0.963,Industrial Conglomerates
FDX,1.32,Air Freight and Logistics
CDNS,1.07,Application Software
MNST,0.868,Soft Drinks and Non-alcoholic Beverages
MCO,1.3,Financial Exchanges and Data
OXY,1.79,Integrated Oil and Gas
KLAC,1.38,Semiconductor Materials and Equipment
USB,1,Diversified Banks
CHTR,1.12,Cable and Satellite
WDAY,1.26,Application Software
VMW,0.826,Systems Software
PSA,0.437,Self-Storage REITs
ORLY,0.879,Automotive Retail
FTNT,1.14,Systems Software
HSY,0.306,Packaged Foods and Meats
ANET,1.25,Communications Equipment
VLO,1.64,Oil and Gas Refining and Marketing
MAR,1.59,"Hotels, Resorts and Cruise Lines"
GM,1.38,Automobile Manufacturers
PNC,1.14,Regional Banks
F,1.54,Automobile Manufacturers
GIS,0.265,Packaged Foods and Meats
SNOW,0.75,Internet Services and Infrastructure
EW,1.01,Health Care Equipment
EMR,1.39,Electrical Components and Equipment
KDP,0.578,Soft Drinks and Non-alcoholic Beverages
MCK,0.592,Health Care Distributors
APH,1.25,Electronic Components
NSC,1.3,Rail Transportation
PXD,1.44,Oil and Gas Exploration and Production
MSI,0.925,Communications Equipment
SRE,0.731,Multi-Utilities
KHC,0.703,Packaged Foods and Meats
CMG,1.3,Restaurants
ECL,0.984,Specialty Chemicals
CTAS,1.33,Diversified Support Services
ROP,1.03,Application Software
AEP,0.437,Electric Utilities
PSX,1.36,Oil and Gas Refining and Marketing
D,0.466,Multi-Utilities
LULU,1.35,"Apparel, Accessories and Luxury Goods"
DG,0.334,Consumer Staples Merchandise Retail
MCHP,1.57,Semiconductors
KMB,0.411,Household Products
TFC,1.1,Regional Banks
KKR,1.55,Asset Management and Custody Banks
AZO,0.692,Automotive Retail
DXCM,1.09,Health Care Equipment
MET,1.08,Life and Health Insurance
MSCI,1.13,Financial Exchanges and Data
ADSK,1.51,Application Software
LVS,1.17,Casinos and Gaming
TEAM,0.827,Application Software
ADM,0.792,Agricultural Products and Services
PH,1.51,Industrial Machinery and Supplies and Components
CTVA,0.798,Fertilizers and Agricultural Chemicals
RSG,0.662,Environmental and Facilities Services
TT,1.19,Building Products
O,0.795,Retail REITs
STZ,1.01,Distillers and Vintners
EXC,0.592,Electric Utilities
IDXX,1.18,Health Care Equipment
JCI,1.25,Building Products
SQ,2.35,Transaction and Payment Processing Services
PAYX,0.977,Human Resource and Employment Services
AJG,0.702,Insurance Brokers
HES,1.56,Oil and Gas Exploration and Production
TDG,1.37,Aerospace and Defense
BIIB,0.193,Biotechnology
TRV,0.625,Property and Casualty Insurance
AFL,0.939,Life and Health Insurance
KMI,0.928,Oil and Gas Storage and Transportation
GFS,2.01,Semiconductors
SYY,1.09,Food Distributors
NEM,0.32,Gold
NUE,1.6,Steel
DOW,1.33,Commodity Chemicals
LNG,1.01,Oil and Gas Storage and Transportation
PCAR,0.945,Construction Machinery and Heavy Transportation Equipment
CARR,1.17,Building Products
SGEN,0.531,Biotechnology
HLT,1.24,"Hotels, Resorts and Cruise Lines"
ODFL,1.08,Cargo Ground Transportation
LHX,0.712,Aerospace and Defense
GEHC,2.012752294,Health Care Equipment
A,1.05,Life Sciences Tools and Services
MRVL,1.47,Semiconductors
XEL,0.421,Electric Utilities
YUM,0.984,Restaurants
AIG,1.16,Multi-line Insurance
IQV,1.41,Life Sciences Tools and Services
WBD,1.5,Movies and Entertainment
ILMN,1.15,Life Sciences Tools and Services
COF,1.5,Consumer Finance
SPG,1.55,Retail REITs
WMB,1.21,Oil and Gas Storage and Transportation
BK,1.09,Asset Management and Custody Banks
ROST,0.988,Apparel Retail
APO,1.72,Diversified Financial Services
CPRT,1.21,Diversified Support Services
ON,1.75,Semiconductors
KR,0.469,Food Retail
WELL,1.04,Health Care REITs
OTIS,0.818,Industrial Machinery and Supplies and Components
CNC,0.561,Managed Health Care
GWW,1.18,Trading Companies and Distributors
ED,0.347,Multi-Utilities
CMI,1.01,Construction Machinery and Heavy Transportation Equipment
MTD,1.18,Life Sciences Tools and Services
ROK,1.44,Electrical Components and Equipment
DHI,1.51,Homebuilding
AME,1.22,Electrical Components and Equipment
DVN,2.36,Oil and Gas Exploration and Production
EA,0.854,Interactive Home Entertainment
DD,1.25,Specialty Chemicals
VICI,0.981,Other Specialized REITs
ABC,0.537,Health Care Distributors
CRWD,1.02,Systems Software
AMP,1.49,Asset Management and Custody Banks
RMD,0.472,Health Care Equipment
FIS,0.85,Transaction and Payment Processing Services
PCG,1.11,Electric Utilities
DLTR,0.682,Consumer Staples Merchandise Retail
PPG,1.17,Specialty Chemicals
PEG,0.566,Multi-Utilities
CTSH,1.11,IT Consulting and Other Services
BF.A,0.702,Distillers and Vintners
BF.B,0.702,Distillers and Vintners
FAST,1.17,Trading Companies and Distributors
LYB,1.23,Commodity Chemicals
APTV,2.04,Automotive Parts and Equipment
PRU,1.4,Life and Health Insurance
WEC,0.382,Multi-Utilities
TTD,1.82,Advertising
GLW,1.07,Electronic Components
WBA,0.717,Drug Retail
LEN,1.41,Homebuilding
LEN.B,1.41,Homebuilding
VRSK,0.839,Research and Consulting Services
DELL,0.98,"Technology Hardware, Storage and Peripherals"
VEEV,0.896,Health Care Technology
BKR,1.45,Oil and Gas Equipment and Services
ALL,0.591,Property and Casualty Insurance
HPQ,1.03,"Technology Hardware, Storage and Peripherals"
ANSS,1.24,Application Software
KEYS,1.07,Electronic Equipment and Instruments
ENPH,1.49,Semiconductor Materials and Equipment
DLR,0.542,Data Center REITs
HAL,2.14,Oil and Gas Equipment and Services
AWK,0.558,Water Utilities
OKE,1.63,Oil and Gas Storage and Transportation
SBAC,0.487,Telecom Tower REITs
CSGP,0.875,Research and Consulting Services
GPN,1.01,Transaction and Payment Processing Services
URI,1.85,Trading Companies and Distributors
ULTA,1.3,Other Specialty Retail
ES,0.467,Electric Utilities
RBLX,1.72,Interactive Home Entertainment
ZBH,1.01,Health Care Equipment
EIX,0.794,Electric Utilities
NDAQ,0.966,Financial Exchanges and Data
CDW,1.13,Technology Distributors
STT,1.61,Asset Management and Custody Banks
ALB,1.58,Specialty Chemicals
DFS,1.46,Consumer Finance
SPOT,1.75,Movies and Entertainment
TSCO,0.826,Other Specialty Retail
IT,1.28,IT Consulting and Other Services
CEG,0.97,Electric Utilities
WST,1.08,Life Sciences Tools and Services
ALGN,1.6,Health Care Supplies
TROW,1.32,Asset Management and Custody Banks
ACGL,0.739,Property and Casualty Insurance
EFX,1.45,Research and Consulting Services
HZNP,1.14,Biotechnology
DASH,1.45,Restaurants
ALNY,0.486,Biotechnology
FANG,2.03,Oil and Gas Exploration and Production
WTW,0.77,Insurance Brokers
FTV,1.17,Industrial Machinery and Supplies and Components
PWR,1.09,Construction and Engineering
EBAY,1.36,Broadline Retail
MPWR,1.14,Semiconductors
IR,1.43,Industrial Machinery and Supplies and Components
GPC,0.914,Distributors
AVB,0.919,Multi-Family Residential REITs
IFF,1.1,Specialty Chemicals
DDOG,0.987,Application Software
FSLR,1.36,Semiconductors
FE,0.422,Electric Utilities
K,0.427,Packaged Foods and Meats
ETR,0.631,Electric Utilities
VMC,0.759,Construction Materials
EQR,0.815,Multi-Family Residential REITs
AEE,0.429,Multi-Utilities
DTE,0.588,Multi-Utilities
MKC,0.554,Packaged Foods and Meats
DAL,1.26,Passenger Airlines
PODD,0.744,Health Care Equipment
VRSN,0.994,Internet Services and Infrastructure
WY,1.49,Timber REITs
MLM,0.867,Construction Materials
CBRE,1.38,Real Estate Services
EXR,0.559,Self-Storage REITs
HIG,0.87,Multi-line Insurance
HRL,0.167,Packaged Foods and Meats
ARE,0.964,Office REITs
ZM,-0.219,Application Software
CHD,0.452,Household Products
DOV,1.34,Industrial Machinery and Supplies and Components
HUBS,1.61,Application Software
TSN,0.743,Packaged Foods and Meats
TDY,1.08,Electronic Equipment and Instruments
HPE,1.25,"Technology Hardware, Storage and Peripherals"
HEI,1.18,Aerospace and Defense
HEI.A,1.18,Aerospace and Defense
BAX,0.558,Health Care Equipment
PPL,0.79,Electric Utilities
NET,1.03,Internet Services and Infrastructure
LH,1.06,Health Care Services
TTWO,0.703,Interactive Home Entertainment
MTB,0.813,Regional Banks
RJF,1.07,Investment Banking and Brokerage
HOLX,1.01,Health Care Equipment
CLX,0.275,Household Products
CAH,0.773,Health Care Distributors
LUV,1.15,Passenger Airlines
GRMN,0.952,Consumer Electronics
STLD,1.53,Steel
INVH,0.894,Single-Family Residential REITs
OMC,0.852,Advertising
STE,0.847,Health Care Equipment
DRI,1.23,Restaurants
XYL,1.07,Industrial Machinery and Supplies and Components
CTRA,0.24,Oil and Gas Exploration and Production
SWKS,1.29,Semiconductors
PINS,0.988,Interactive Media and Services
CNP,0.872,Multi-Utilities
ROL,0.646,Environmental and Facilities Services
COO,0.892,Health Care Supplies
NTRS,1.1,Asset Management and Custody Banks
WAT,0.865,Life Sciences Tools and Services
WAB,1.48,Construction Machinery and Heavy Transportation Equipment
JBHT,1.14,Cargo Ground Transportation
FITB,1.24,Regional Banks
BMRN,0.389,Biotechnology
NVR,0.978,Homebuilding
PFG,1.3,Life and Health Insurance
CAG,0.544,Packaged Foods and Meats
CMS,0.334,Multi-Utilities
PLTR,2.87,Application Software
FICO,1.27,Application Software
CINF,0.645,Property and Casualty Insurance
MAA,0.75,Multi-Family Residential REITs
PAYC,1.39,Application Software
FOX,0.869,Broadcasting
FOXA,0.869,Broadcasting
SUI,0.713,Single-Family Residential REITs
HWM,1.3,Aerospace and Defense
IEX,0.987,Industrial Machinery and Supplies and Components
RF,1.24,Regional Banks
VTR,1.22,Health Care REITs
BALL,0.781,"Metal, Glass and Plastic Containers"
FWON.A,1.09,Movies and Entertainment
FWON.K,1.09,Movies and Entertainment
BR,0.985,Data Processing and Outsourced Services
EPAM,1.57,IT Consulting and Other Services
MKL,0.777,Property and Casualty Insurance
BBY,1.53,Computer and Electronics Retail
EXPD,0.99,Air Freight and Logistics
ZS,0.878,Systems Software
PKI,1.1,Life Sciences Tools and Services
SJM,0.214,Packaged Foods and Meats
TER,1.55,Semiconductor Materials and Equipment
RCL,2.47,"Hotels, Resorts and Cruise Lines"
AMCR,0.853,Paper and Plastic Packaging Products and Materials
MGM,2.06,Casinos and Gaming
TRGP,2.28,Oil and Gas Storage and Transportation
CPB,0.323,Packaged Foods and Meats
TW,0.953,Financial Exchanges and Data
UI,1.26,Communications Equipment
WRB,0.617,Property and Casualty Insurance
AXON,0.919,Aerospace and Defense
ZBRA,1.66,Electronic Equipment and Instruments
MDB,0.993,Internet Services and Infrastructure
WPC,0.804,Diversified REITs
BRO,0.751,Insurance Brokers
HBAN,1.13,Regional Banks
LYV,1.31,Movies and Entertainment
INCY,0.737,Biotechnology
AES,0.927,Independent Power Producers and Energy Traders
ATO,0.611,Gas Utilities
RPRX,0.42,Pharmaceuticals
LPLA,0.949,Investment Banking and Brokerage
FDS,0.835,Financial Exchanges and Data
SPLK,1.29,Application Software
DGX,0.943,Health Care Services
COIN,2.95,Financial Exchanges and Data
MOH,0.657,Managed Health Care
FLT,1.2,Transaction and Payment Processing Services
SIRI,0.973,Cable and Satellite
MOS,1.54,Fertilizers and Agricultural Chemicals
IRM,0.924,Other Specialized REITs
AGR,0.416,Electric Utilities
FMC,0.839,Fertilizers and Agricultural Chemicals
LW,0.51,Packaged Foods and Meats
LKQ,1.37,Distributors
PTC,1.18,Application Software
RS,0.889,Steel
MRO,2.38,Oil and Gas Exploration and Production
ARES,1.36,Asset Management and Custody Banks
J,0.854,Research and Consulting Services
EXPE,1.61,"Hotels, Resorts and Cruise Lines"
TYL,0.813,Application Software
AZPN,0.934,Application Software
WLK,1.24,Commodity Chemicals
MKTX,0.765,Financial Exchanges and Data
LCID,1.19,Automobile Manufacturers
CFG,1.34,Regional Banks
PARA,1.66,Broadcasting
PARA.A,1.66,Broadcasting
AVY,0.988,Paper and Plastic Packaging Products and Materials
UAL,1.44,Passenger Airlines
TXT,1.49,Aerospace and Defense
RIVN,2.33,Automobile Manufacturers
IPG,1.11,Advertising
BG,0.657,Agricultural Products and Services
AVTR,1.37,Life Sciences Tools and Services
CF,1.05,Fertilizers and Agricultural Chemicals
CBOE,0.483,Financial Exchanges and Data
BIO,0.925,Life Sciences Tools and Services
SSNC,1.41,Data Processing and Outsourced Services
FCNC.A,0.942,Regional Banks
EVRG,0.474,Electric Utilities
RE,0.603,Reinsurance
OKTA,1.12,Internet Services and Infrastructure
ETSY,1.99,Broadline Retail
GLPI,1,Other Specialized REITs
NTAP,1.17,"Technology Hardware, Storage and Peripherals"
UDR,0.736,Multi-Family Residential REITs
ESS,0.759,Multi-Family Residential REITs
BEN,1.31,Asset Management and Custody Banks
BSY,1.2,Application Software
LNT,0.516,Electric Utilities
L,0.828,Property and Casualty Insurance
POOL,0.933,Distributors
LSCC,1.29,Semiconductors
SNA,1.1,Industrial Machinery and Supplies and Components
TPL,1.92,Oil and Gas Exploration and Production
PHM,1.32,Homebuilding
HUBB,1.02,Electrical Components and Equipment
BURL,1.09,Apparel Retail
CCL,2.23,"Hotels, Resorts and Cruise Lines"
TRMB,1.58,Electronic Equipment and Instruments
NDSN,0.917,Industrial Machinery and Supplies and Components
WYNN,2.01,Casinos and Gaming
SYF,1.62,Consumer Finance
BEPC,0.888,Renewable Electricity
LDOS,0.77,Research and Consulting Services
IP,1.04,Paper and Plastic Packaging Products and Materials
ELS,0.677,Single-Family Residential REITs
TWLO,1.44,Internet Services and Infrastructure
PKG,0.901,Paper and Plastic Packaging Products and Materials
SWK,1.31,Industrial Machinery and Supplies and Components
ENTG,1.28,Semiconductor Materials and Equipment
GGG,0.774,Industrial Machinery and Supplies and Components
BAH,0.6,Research and Consulting Services
BLDR,1.98,Building Products
AKAM,0.784,Internet Services and Infrastructure
DT,1.12,Application Software
U,2.17,Application Software
DKS,1.44,Other Specialty Retail
SRPT,0.969,Biotechnology
ERIE,0.451,Property and Casualty Insurance
EXAS,1.42,Biotechnology
KIM,1.46,Retail REITs
CE,1.3,Specialty Chemicals
WDC,1.68,"Technology Hardware, Storage and Peripherals"
PEAK,0.878,Health Care REITs
TRU,1.37,Research and Consulting Services
LBRD.A,1.14,Cable and Satellite
LBRD.K,1.14,Cable and Satellite
GDDY,0.968,Internet Services and Infrastructure
TFX,0.973,Health Care Equipment
H,1.38,"Hotels, Resorts and Cruise Lines"
DECK,0.924,Footwear
ACI,0.349,Food Retail
CTLT,1.19,Pharmaceuticals
DOCU,0.997,Application Software
HST,1.32,Hotel and Resort REITs
JBL,1.43,Electronic Manufacturing Services
REXR,0.848,Industrial REITs
ACM,1.3,Construction and Engineering
DPZ,0.76,Restaurants
TECH,1.24,Life Sciences Tools and Services
TTC,0.732,Agricultural and Farm Machinery
DOX,0.657,IT Consulting and Other Services
KEY,1.31,Regional Banks
CHRW,0.802,Air Freight and Logistics
BRKR,1.14,Life Sciences Tools and Services
NI,0.455,Multi-Utilities
WTRG,0.781,Water Utilities
CSL,0.932,Building Products
WSO,0.864,Trading Companies and Distributors
VTRS,1.19,Pharmaceuticals
EQT,1.17,Oil and Gas Exploration and Production
BWA,1.41,Automotive Parts and Equipment
FIVE,1.15,Other Specialty Retail
CPT,0.806,Multi-Family Residential REITs
AMH,0.667,Single-Family Residential REITs
CDAY,1.45,Application Software
CG,1.7,Asset Management and Custody Banks
RPM,0.949,Specialty Chemicals
TAP,0.856,Brewers
APA,3.52,Oil and Gas Exploration and Production
MAS,1.2,Building Products
LSI,0.604,Self-Storage REITs
PCTY,1.07,Application Software
JNPR,0.944,Communications Equipment
JKHY,0.641,Transaction and Payment Processing Services
GEN,1.06,Systems Software
MTCH,1.51,Interactive Media and Services
HSIC,0.777,Health Care Distributors
PEN,0.519,Health Care Equipment
GL,0.801,Life and Health Insurance
CNA,0.694,Property and Casualty Insurance
SCI,0.786,Specialized Consumer Services
CZR,2.9,Casinos and Gaming
QGEN,0.393,Life Sciences Tools and Services
FND,1.82,Home Improvement Retail
REG,1.16,Retail REITs
AOS,1.26,Building Products
CUBE,0.591,Self-Storage REITs
CRBG,2.58,Diversified Financial Services
Z,1.68,Real Estate Services
ZG,1.68,Real Estate Services
UTHR,0.622,Biotechnology
AFG,0.825,Property and Casualty Insurance
UHAL,0.992,Cargo Ground Transportation
UHAL.B,0.992,Cargo Ground Transportation
CRL,1.36,Life Sciences Tools and Services
COTY,1.85,Personal Care Products
CHK,0.665,Oil and Gas Exploration and Production
RBA,0.907,Diversified Support Services
BJ,0.476,Consumer Staples Merchandise Retail
TPR,1.46,"Apparel, Accessories and Luxury Goods"
LAMR,1.42,Other Specialized REITs
KMX,1.43,Automotive Retail
QRVO,1.48,Semiconductors
AGCO,1.36,Agricultural and Farm Machinery
EMN,1.5,Specialty Chemicals
ZI,0.953,Interactive Media and Services
NWS,1.32,Publishing
NWSA,1.32,Publishing
CCK,1.05,"Metal, Glass and Plastic Containers"
AGL,1.2,Health Care Services
PAG,1.24,Automotive Retail
PATH,1.59,Systems Software
NBIX,0.497,Biotechnology
LECO,1.15,Industrial Machinery and Supplies and Components
MASI,0.856,Health Care Equipment
MANH,1.57,Application Software
WSC,1.52,Construction and Engineering
AAL,1.55,Passenger Airlines
CHDN,1.12,Casinos and Gaming
FHN,0.945,Regional Banks
FNF,1.4,Property and Casualty Insurance
DINO,1.38,Oil and Gas Refining and Marketing
OSH,2.23,Health Care Services
NLY,1.43,Mortgage REITs
CLF,2.24,Steel
MTN,1.2,Leisure Facilities
PFGC,1.36,Food Distributors
ALLE,1.11,Building Products
RGEN,1.09,Life Sciences Tools and Services
TOST,1.98,Transaction and Payment Processing Services
DAR,1.27,Agricultural Products and Services
ARMK,1.67,Restaurants
RRX,1.07,Electrical Components and Equipment
JAZZ,0.731,Pharmaceuticals
ROKU,1.78,Movies and Entertainment
ALGM,1.7,Semiconductors
EQH,1.44,Diversified Financial Services
VST,0.942,Independent Power Producers and Energy Traders
LSXM.A,1.13,Cable and Satellite
LSXM.K,1.13,Cable and Satellite
PNR,1.09,Industrial Machinery and Supplies and Components
KNX,1.17,Cargo Ground Transportation
SNX,1.56,Technology Distributors
UHS,1.25,Health Care Facilities
PNW,0.426,Electric Utilities
DKNG,1.8,Casinos and Gaming
BKI,0.496,Application Software
LII,0.931,Building Products
VFC,1.48,"Apparel, Accessories and Luxury Goods"
RGA,0.915,Reinsurance
PCOR,1.65,Application Software
FFIV,1.09,Communications Equipment
RNR,0.427,Reinsurance
OVV,3.57,Oil and Gas Exploration and Production
HOOD,1.54,Investment Banking and Brokerage
OC,1.42,Building Products
BILL,1.99,Application Software
MORN,1.19,Financial Exchanges and Data
USFD,1.48,Food Distributors
CGNX,1.6,Electronic Equipment and Instruments
RHI,1.32,Human Resource and Employment Services
RGLD,0.624,Gold
IBKR,0.785,Investment Banking and Brokerage
G,1.21,Data Processing and Outsourced Services
BXP,1.11,Office REITs
XRAY,0.928,Health Care Supplies
BBWI,1.76,Other Specialty Retail
HII,0.636,Aerospace and Defense
LEA,1.54,Automotive Parts and Equipment
DLB,1.01,Systems Software
WOLF,1.55,Semiconductors
CASY,0.816,Food Retail
WSM,1.6,Homefurnishing Retail
FRT,1.22,Retail REITs
NNN,0.874,Retail REITs
CHE,0.519,Health Care Services
NRG,0.972,Electric Utilities
WEX,1.59,Transaction and Payment Processing Services
DCI,1.22,Industrial Machinery and Supplies and Components
SWAV,0.968,Health Care Equipment
WCC,1.97,Trading Companies and Distributors
MIDD,1.52,Industrial Machinery and Supplies and Components
IRDM,1.11,Alternative Carriers
CIEN,0.971,Communications Equipment
GPK,0.975,Paper and Plastic Packaging Products and Materials
EWBC,1.44,Regional Banks
TTEK,0.962,Environmental and Facilities Services
CROX,1.89,Footwear
UNM,1.07,Life and Health Insurance
WRK,1.2,Paper and Plastic Packaging Products and Materials
EME,1.09,Construction and Engineering
DBX,0.833,Application Software
ATR,0.628,"Metal, Glass and Plastic Containers"
SEIC,1.02,Asset Management and Custody Banks
PSTG,1.26,"Technology Hardware, Storage and Peripherals"
CLH,1.38,Environmental and Facilities Services
RL,1.39,"Apparel, Accessories and Luxury Goods"
CAR,2.35,Passenger Ground Transportation
COLD,0.506,Industrial REITs
ALLY,1.35,Consumer Finance
ST,1.33,Electrical Components and Equipment
APLS,1.19,Biotechnology
AA,2.45,Aluminum
OGE,0.688,Electric Utilities
KBR,1.13,Research and Consulting Services
IVZ,1.35,Asset Management and Custody Banks
FBIN,1.57,Building Products
HAS,0.739,Leisure Products
SKX,1.32,Footwear
HR,0.648,Health Care REITs
DVA,0.954,Health Care Services
OLED,1.44,Semiconductors
NOV,1.91,Oil and Gas Equipment and Services
UGI,1.1,Gas Utilities
CBSH,0.757,Regional Banks
ARW,1.41,Technology Distributors
OLN,1.46,Commodity Chemicals
MTZ,1.39,Construction and Engineering
ORI,0.842,Property and Casualty Insurance
TXRH,0.944,Restaurants
JEF,1.42,Investment Banking and Brokerage
SAIA,1.52,Cargo Ground Transportation
WHR,1.5,Household Appliances
EGP,0.939,Industrial REITs
AAP,1.14,Automotive Retail
BERY,1.17,"Metal, Glass and Plastic Containers"
ITT,1.43,Industrial Machinery and Supplies and Components
CELH,1.84,Soft Drinks and Non-alcoholic Beverages
NVT,1.33,Electrical Components and Equipment
FR,0.99,Industrial REITs
CFLT,2.44,Application Software
GME,-0.12,Computer and Electronics Retail
PLUG,1.81,Electrical Components and Equipment
VOYA,1.16,Diversified Financial Services
GLOB,1.43,IT Consulting and Other Services
KNSL,0.865,Property and Casualty Insurance
JLL,1.29,Real Estate Services
NATI,1.19,Electronic Equipment and Instruments
WBS,1.28,Regional Banks
WMS,1.41,Building Products
INSP,1.46,Health Care Equipment
AR,3.5,Oil and Gas Exploration and Production
VMI,1.08,Construction and Engineering
TPX,1.73,Home Furnishings
WWE,1.18,Movies and Entertainment
KRTX,1.17,Biotechnology
CFR,1.06,Regional Banks
CACI,0.972,Research and Consulting Services
CW,1.24,Aerospace and Defense
GWRE,1.24,Application Software
INGR,0.76,Agricultural Products and Services
RBC,1.42,Industrial Machinery and Supplies and Components
AXTA,1.43,Specialty Chemicals
GNRC,1.18,Electrical Components and Equipment
NVST,1.42,Health Care Equipment
TOL,1.38,Homebuilding
LFUS,1.26,Electronic Components
PLNT,1.3,Leisure Facilities
SEE,1.25,Paper and Plastic Packaging Products and Materials
BLD,1.48,Homebuilding
ACHC,1.32,Health Care Facilities
GNTX,0.911,Automotive Parts and Equipment
ADT,1.75,Specialized Consumer Services
FCN,0.269,Research and Consulting Services
MAT,1.2,Leisure Products
BYD,1.81,Casinos and Gaming
BRX,1.56,Retail REITs
LSTR,0.902,Cargo Ground Transportation
TXG,1.73,Life Sciences Tools and Services
OHI,0.969,Health Care REITs
CR,1.5,Industrial Machinery and Supplies and Components
NYT,0.98,Publishing
RRC,2.13,Oil and Gas Exploration and Production
